SeriesInstanceUID,dcm_file_count
1.2.826.0.1.3680043.8.498.10101061475536996465167813138158739213,175
1.2.826.0.1.3680043.8.498.10102361048562788202568222767625052953,164
1.2.826.0.1.3680043.8.498.10116626135148932224643146695383345963,24
1.2.826.0.1.3680043.8.498.10118061831005170945889563029918713432,169
1.2.826.0.1.3680043.8.498.10118104902601294641571465174067732646,321
1.2.826.0.1.3680043.8.498.10122841756457641138155875644216826804,1
1.2.826.0.1.3680043.8.498.10125437190727527270716129219120957188,20
1.2.826.0.1.3680043.8.498.10126204714343951399034097831014403155,150
1.2.826.0.1.3680043.8.498.10126487256624050201543415947047895825,898
1.2.826.0.1.3680043.8.498.10129540112106776730428126836684374398,80
1.2.826.0.1.3680043.8.498.10129580404994628606227497184499173213,313
1.2.826.0.1.3680043.8.498.10133777372284957640897520050991895887,45
1.2.826.0.1.3680043.8.498.10133805409448598100180344093077653742,554
1.2.826.0.1.3680043.8.498.10134365079002163886508836892471866754,1
1.2.826.0.1.3680043.8.498.10140895167100232412095668871893964095,188
1.2.826.0.1.3680043.8.498.10143240284902513794767720489625125957,240
1.2.826.0.1.3680043.8.498.10144083517869641752799954597390552857,194
1.2.826.0.1.3680043.8.498.10145340168188681268595785827168799711,23
1.2.826.0.1.3680043.8.498.10148992367063193735584459523736151066,139
1.2.826.0.1.3680043.8.498.10149517800497200117971642051961114300,40
1.2.826.0.1.3680043.8.498.10152316071300066886893512484432664805,120
1.2.826.0.1.3680043.8.498.10157259652665015386051954194840128811,359
1.2.826.0.1.3680043.8.498.10158065843180867652384529862983576761,116
1.2.826.0.1.3680043.8.498.10159052987439329819869659161075958798,24
1.2.826.0.1.3680043.8.498.10161092109954976473450555831085144960,284
1.2.826.0.1.3680043.8.498.10161806953566875622930260306554507426,124
1.2.826.0.1.3680043.8.498.10163482612339017493097015030860956863,302
1.2.826.0.1.3680043.8.498.10163827504601437014258638041508575801,75
1.2.826.0.1.3680043.8.498.10168980078157176521154364692096920137,52
1.2.826.0.1.3680043.8.498.10170698207397181808858428764907250482,307
1.2.826.0.1.3680043.8.498.10172626607552095496094268567506878754,561
1.2.826.0.1.3680043.8.498.10177117050965285724806213067235546942,47
1.2.826.0.1.3680043.8.498.10177991619943313403139905685327320608,27
1.2.826.0.1.3680043.8.498.10183727561065274266314159653049375993,35
1.2.826.0.1.3680043.8.498.10184847787867063803105367841107558567,164
1.2.826.0.1.3680043.8.498.10186041198879318410917325125181341286,30
1.2.826.0.1.3680043.8.498.10188636688783982623025997809119805350,136
1.2.826.0.1.3680043.8.498.10192011262895867728128531292507199782,737
1.2.826.0.1.3680043.8.498.10195070873338721244150818495996796822,289
1.2.826.0.1.3680043.8.498.10207110118916220264491289532161991004,1
1.2.826.0.1.3680043.8.498.10212302880573111557869412819411272803,200
1.2.826.0.1.3680043.8.498.10215833141558976135001043369327881438,24
1.2.826.0.1.3680043.8.498.10218616184968326770042507305824538520,359
1.2.826.0.1.3680043.8.498.10220365367013559992095908932821694373,191
1.2.826.0.1.3680043.8.498.10221223003274066645389576091413528073,191
1.2.826.0.1.3680043.8.498.10229915682372012073055285556885310225,204
1.2.826.0.1.3680043.8.498.10230011967368070546203100023298616413,144
1.2.826.0.1.3680043.8.498.10232731436838657115800303234983509594,30
1.2.826.0.1.3680043.8.498.10232762689430514958235799084476946744,231
1.2.826.0.1.3680043.8.498.10237346404947508483392228545497384153,205
1.2.826.0.1.3680043.8.498.10240701911188793595728082556212433173,140
1.2.826.0.1.3680043.8.498.10242234264937443187831558438826464608,56
1.2.826.0.1.3680043.8.498.10242740813399049394757933972926370746,158
1.2.826.0.1.3680043.8.498.10242908234090194014051186313014188903,108
1.2.826.0.1.3680043.8.498.10242915350197711554605463577659482013,19
1.2.826.0.1.3680043.8.498.10245631466184909766661730547792670102,21
1.2.826.0.1.3680043.8.498.10247439373520422169955747183361551750,26
1.2.826.0.1.3680043.8.498.10252642992827581995791460041128469049,148
1.2.826.0.1.3680043.8.498.10256018119694768427929632156620347034,180
1.2.826.0.1.3680043.8.498.10257249310194962131618310444401032418,843
1.2.826.0.1.3680043.8.498.10264784704607431871981917026977073042,168
1.2.826.0.1.3680043.8.498.10266003979013435429766532229856562416,104
1.2.826.0.1.3680043.8.498.10273673348071492912735641743807147880,273
1.2.826.0.1.3680043.8.498.10277444113543832445609667186062143439,335
1.2.826.0.1.3680043.8.498.10277844638291810598540567941525974547,31
1.2.826.0.1.3680043.8.498.10279241748840563000265361429813924648,27
1.2.826.0.1.3680043.8.498.10281549037987359841599916116991482664,43
1.2.826.0.1.3680043.8.498.10281576424046867541214124879878958476,202
1.2.826.0.1.3680043.8.498.10283265476514387434883368157822740304,46
1.2.826.0.1.3680043.8.498.10285119968097817399344803016457362094,1
1.2.826.0.1.3680043.8.498.10285482637834121309016685247721322582,769
1.2.826.0.1.3680043.8.498.10286065284341055336022316481132125028,172
1.2.826.0.1.3680043.8.498.10286269778673315744120255441286799043,145
1.2.826.0.1.3680043.8.498.10286928628364857471106481643702112367,909
1.2.826.0.1.3680043.8.498.10288848585792562273752173975279351795,1
1.2.826.0.1.3680043.8.498.10291305271924252800517578003204027072,821
1.2.826.0.1.3680043.8.498.10294400907809514329438115937079270966,168
1.2.826.0.1.3680043.8.498.10295200313126835131399504864775077617,1
1.2.826.0.1.3680043.8.498.10296102422523588648003548596991595445,145
1.2.826.0.1.3680043.8.498.10299745358089979092519136238482130866,191
1.2.826.0.1.3680043.8.498.10302299037333930209177350775866905985,172
1.2.826.0.1.3680043.8.498.10311178483256099259176768310869377326,83
1.2.826.0.1.3680043.8.498.10311779504410035494813361626720781687,108
1.2.826.0.1.3680043.8.498.10313496695916659101874272849545285743,962
1.2.826.0.1.3680043.8.498.10313884797119567971099581422373150990,742
1.2.826.0.1.3680043.8.498.10315989425857215810912108943640204739,313
1.2.826.0.1.3680043.8.498.10320104854524208588853957389202003973,191
1.2.826.0.1.3680043.8.498.10321124251721840561399966542873518734,1
1.2.826.0.1.3680043.8.498.10326085668224271877821659254836452146,188
1.2.826.0.1.3680043.8.498.10327401654089434788594119044276508319,240
1.2.826.0.1.3680043.8.498.10329432108222030224306815825905716779,337
1.2.826.0.1.3680043.8.498.10332445922333724094744591777905561035,190
1.2.826.0.1.3680043.8.498.10332989797483432207586094426921490236,133
1.2.826.0.1.3680043.8.498.10337340834925241563571050156541599503,1
1.2.826.0.1.3680043.8.498.10338035746158737411128707158820194080,242
1.2.826.0.1.3680043.8.498.10341844458086026210849785187845754012,32
1.2.826.0.1.3680043.8.498.10342709283985724898618249297250963636,349
1.2.826.0.1.3680043.8.498.10345349366333570404729603589622961796,324
1.2.826.0.1.3680043.8.498.10355999422630119489122900651916543784,240
1.2.826.0.1.3680043.8.498.10359152343800583484178508356859412682,164
1.2.826.0.1.3680043.8.498.10359672296099130324228345833494116858,939
1.2.826.0.1.3680043.8.498.10363384324639859368317944284434869657,160
1.2.826.0.1.3680043.8.498.10368139067683482062463559717739182190,364
1.2.826.0.1.3680043.8.498.10368748357419659034341053526882715967,242
1.2.826.0.1.3680043.8.498.10372690324038201931702997261629536915,188
1.2.826.0.1.3680043.8.498.10378246294519368802215720954506594950,819
1.2.826.0.1.3680043.8.498.10380167603789466500184133137861530473,79
1.2.826.0.1.3680043.8.498.10392269849471954571399326989696230894,297
1.2.826.0.1.3680043.8.498.10393890920186766797254434288292058016,384
1.2.826.0.1.3680043.8.498.10394802805589757135293612420117715665,515
1.2.826.0.1.3680043.8.498.10395166059091428751583405313299534442,119
1.2.826.0.1.3680043.8.498.10398119555851443876517634822321882988,306
1.2.826.0.1.3680043.8.498.10401423302257944813154789358190519254,125
1.2.826.0.1.3680043.8.498.10404177333128553609085815567152978870,30
1.2.826.0.1.3680043.8.498.10404775627581740273819052291643108611,188
1.2.826.0.1.3680043.8.498.10407869180952513829534001136986995159,132
1.2.826.0.1.3680043.8.498.10407875508896326574293014608024081187,301
1.2.826.0.1.3680043.8.498.10409114344258595847722068732760082589,1234
1.2.826.0.1.3680043.8.498.10410600166004340343973545138447283460,95
1.2.826.0.1.3680043.8.498.10411974091082003098679091952692447995,341
1.2.826.0.1.3680043.8.498.10414068478879888651259012434169334258,19
1.2.826.0.1.3680043.8.498.10415892783290443349191809959778349685,592
1.2.826.0.1.3680043.8.498.10423381112154013278273189410331821875,257
1.2.826.0.1.3680043.8.498.10425179756637431399195936388692294756,214
1.2.826.0.1.3680043.8.498.10426108253890352854997484052205138922,154
1.2.826.0.1.3680043.8.498.10431434465869937214637537199402140025,176
1.2.826.0.1.3680043.8.498.10438109427977370649181505459137874622,64
1.2.826.0.1.3680043.8.498.10445235514199937192560433070901423029,1
1.2.826.0.1.3680043.8.498.10447731173815381874118731933393396967,1
1.2.826.0.1.3680043.8.498.10448683083165955629184463261648391236,40
1.2.826.0.1.3680043.8.498.10448908392671591325769160035068864104,591
1.2.826.0.1.3680043.8.498.10454327297553204490923410368336760336,186
1.2.826.0.1.3680043.8.498.10454754803302367695534484904787098586,288
1.2.826.0.1.3680043.8.498.10457518590822608632535331009959916314,43
1.2.826.0.1.3680043.8.498.10460045003530493928719986814430448039,88
1.2.826.0.1.3680043.8.498.10460650254877169551212749749635286489,295
1.2.826.0.1.3680043.8.498.10469913384029146324658136934047050433,27
1.2.826.0.1.3680043.8.498.10475119355915817844208283968696434600,273
1.2.826.0.1.3680043.8.498.10476075045113226065307793065393571000,143
1.2.826.0.1.3680043.8.498.10476452342884486308540676864983008206,47
1.2.826.0.1.3680043.8.498.10481357868793978665297592037244681787,421
1.2.826.0.1.3680043.8.498.10483259387257094108506114287154076889,196
1.2.826.0.1.3680043.8.498.10484360976328944029400898545740347556,765
1.2.826.0.1.3680043.8.498.10484809454170799749997508580496517686,569
1.2.826.0.1.3680043.8.498.10487456545489144263441234750888574208,1291
1.2.826.0.1.3680043.8.498.10487825958668051506624823704251130894,38
1.2.826.0.1.3680043.8.498.10488407320496727436989477941911818805,120
1.2.826.0.1.3680043.8.498.10488876862972997983660376855639751518,607
1.2.826.0.1.3680043.8.498.10489902145908525186969095759982595916,514
1.2.826.0.1.3680043.8.498.10491885999343016971277789732392506995,232
1.2.826.0.1.3680043.8.498.10492161532564973190997856536193224671,1
1.2.826.0.1.3680043.8.498.10492233221275335453833893741963970234,1
1.2.826.0.1.3680043.8.498.10492528290352309410833604805726457240,20
1.2.826.0.1.3680043.8.498.10493764312822878031658845292081871956,144
1.2.826.0.1.3680043.8.498.10494322538807074235725060570063345500,120
1.2.826.0.1.3680043.8.498.10496113468634027587242558966509100791,436
1.2.826.0.1.3680043.8.498.10502287394864886953253021532295336627,106
1.2.826.0.1.3680043.8.498.10505338195076532693039854875465522705,164
1.2.826.0.1.3680043.8.498.10511795165684047723465759894580202932,1
1.2.826.0.1.3680043.8.498.10514727225872923835245578856725980466,176
1.2.826.0.1.3680043.8.498.10516336661180183966126480937598074106,395
1.2.826.0.1.3680043.8.498.10516503904307548750610842681309726745,204
1.2.826.0.1.3680043.8.498.10517616625459996877182972890138634409,31
1.2.826.0.1.3680043.8.498.10519664347933911800470308583213770486,152
1.2.826.0.1.3680043.8.498.10519800171901159188500806579732523900,190
1.2.826.0.1.3680043.8.498.10522133031479038645950456271346184733,1
1.2.826.0.1.3680043.8.498.10524676737221213850435436390475501565,33
1.2.826.0.1.3680043.8.498.10528172584943045181494249634852297631,1
1.2.826.0.1.3680043.8.498.10529765847929106412191039087455506757,297
1.2.826.0.1.3680043.8.498.10530695545021033196621475228130424566,27
1.2.826.0.1.3680043.8.498.10532679146230766671762490783584887350,1
1.2.826.0.1.3680043.8.498.10539805583894240854689522085529279066,380
1.2.826.0.1.3680043.8.498.10540586847553109495238524904638776495,21
1.2.826.0.1.3680043.8.498.10546632601048582076179437336216668845,228
1.2.826.0.1.3680043.8.498.10548004836878297842606387888919159206,340
1.2.826.0.1.3680043.8.498.10549548497632907417717890040186810599,1
1.2.826.0.1.3680043.8.498.10551593649873686918842767133326373332,273
1.2.826.0.1.3680043.8.498.10557880026294057874761753231388788828,28
1.2.826.0.1.3680043.8.498.10557979063651009599662513943433444820,30
1.2.826.0.1.3680043.8.498.10558283850814140636508695433402824800,579
1.2.826.0.1.3680043.8.498.10565031845749751317338188078743896434,164
1.2.826.0.1.3680043.8.498.10566322400214791337301310820523346665,16
1.2.826.0.1.3680043.8.498.10570221282339074994072207051633970308,559
1.2.826.0.1.3680043.8.498.10570825552673080975259324919232350645,715
1.2.826.0.1.3680043.8.498.10575427133776732603768909157531313751,45
1.2.826.0.1.3680043.8.498.10578511178857434453986361159649271825,220
1.2.826.0.1.3680043.8.498.10579235299209582351584770609917611683,400
1.2.826.0.1.3680043.8.498.10581796827495358947364410632179519958,220
1.2.826.0.1.3680043.8.498.10583544181699160752250365618488968452,28
1.2.826.0.1.3680043.8.498.10588154059476184943792530431613685121,446
1.2.826.0.1.3680043.8.498.10591321307068683497175022052377474536,859
1.2.826.0.1.3680043.8.498.10592969088685694055394859037327373649,263
1.2.826.0.1.3680043.8.498.10593235209326683851030688539111059182,1
1.2.826.0.1.3680043.8.498.10593878177965728027831897321761318691,110
1.2.826.0.1.3680043.8.498.10594694793170397064169815033438514439,30
1.2.826.0.1.3680043.8.498.10595241703564671248403930084633580071,305
1.2.826.0.1.3680043.8.498.10595568885979229712931612682765251679,590
1.2.826.0.1.3680043.8.498.10598166808824296940135923027195448298,247
1.2.826.0.1.3680043.8.498.10602156717395509282545203380100998253,73
1.2.826.0.1.3680043.8.498.10603321067992496978932502160661673268,40
1.2.826.0.1.3680043.8.498.10607580708371334840797048741181101985,38
1.2.826.0.1.3680043.8.498.10618752182981309163840057940806925305,1
1.2.826.0.1.3680043.8.498.10623075849681650687943932638488393349,188
1.2.826.0.1.3680043.8.498.10624923817867514790723147290420763190,232
1.2.826.0.1.3680043.8.498.10627639442366859249259964455277341363,188
1.2.826.0.1.3680043.8.498.10632079705647196531958766844565089352,315
1.2.826.0.1.3680043.8.498.10633029764731181926825032640422192656,199
1.2.826.0.1.3680043.8.498.10634006265038673651224515998705774412,139
1.2.826.0.1.3680043.8.498.10638533736301908961027303200859370303,264
1.2.826.0.1.3680043.8.498.10651378641908724856730013035772912257,883
1.2.826.0.1.3680043.8.498.10656705618563493995266564048457485210,1
1.2.826.0.1.3680043.8.498.10659008764358502459177193756701182364,223
1.2.826.0.1.3680043.8.498.10669696570513687685317420935366314971,68
1.2.826.0.1.3680043.8.498.10671136069814118273051305504191839864,289
1.2.826.0.1.3680043.8.498.10675944589890481875939820411806517733,786
1.2.826.0.1.3680043.8.498.10676089719498698917694240829229591167,278
1.2.826.0.1.3680043.8.498.10676171200316720058659073183033256880,260
1.2.826.0.1.3680043.8.498.10685990781415999986222919698511774045,674
1.2.826.0.1.3680043.8.498.10688265743867266097765526216169726365,110
1.2.826.0.1.3680043.8.498.10691351531404579894529214315707920513,401
1.2.826.0.1.3680043.8.498.10696358651167160191747804018219141567,54
1.2.826.0.1.3680043.8.498.10697713880859176835787631291643061837,1
1.2.826.0.1.3680043.8.498.10699930288055235028819174895925671274,145
1.2.826.0.1.3680043.8.498.10702390433258656600609672523581904940,180
1.2.826.0.1.3680043.8.498.10702463374391833749878513077848977550,1
1.2.826.0.1.3680043.8.498.10704707548391254951537167787284986980,70
1.2.826.0.1.3680043.8.498.10708743030161480018543645383380662288,287
1.2.826.0.1.3680043.8.498.10709122041211146675577757495858945293,254
1.2.826.0.1.3680043.8.498.10715007310113332704472982792983515488,39
1.2.826.0.1.3680043.8.498.10722329050491929401656671952575354429,1
1.2.826.0.1.3680043.8.498.10722800211075505723355529389755974828,120
1.2.826.0.1.3680043.8.498.10725297140806487146802258546172418874,766
1.2.826.0.1.3680043.8.498.10727828449365548333975528403006438509,176
1.2.826.0.1.3680043.8.498.10727853418861725722856023680560832338,271
1.2.826.0.1.3680043.8.498.10728469050527708161868401976093413762,25
1.2.826.0.1.3680043.8.498.10729383707256534709190370608251932252,243
1.2.826.0.1.3680043.8.498.10733698301838280119601018614192667956,239
1.2.826.0.1.3680043.8.498.10733938921373716882398209756836684843,1
1.2.826.0.1.3680043.8.498.10734061825977744660754214019812994234,192
1.2.826.0.1.3680043.8.498.10736401375124837061473099613654521922,79
1.2.826.0.1.3680043.8.498.10736515937012258761752122663795682204,273
1.2.826.0.1.3680043.8.498.10738775948751647757965781019360384775,493
1.2.826.0.1.3680043.8.498.10741003413710963401991893975229062844,848
1.2.826.0.1.3680043.8.498.10741231789190215404468102455078501708,743
1.2.826.0.1.3680043.8.498.10743199796364362163988736837321335182,240
1.2.826.0.1.3680043.8.498.10743276162988333459718604675735499462,96
1.2.826.0.1.3680043.8.498.10743364737739107892685229624785612145,56
1.2.826.0.1.3680043.8.498.10743681379266627714143743478938138250,224
1.2.826.0.1.3680043.8.498.10752089895877999881724597742751706315,160
1.2.826.0.1.3680043.8.498.10755065517210841113426675991883996889,149
1.2.826.0.1.3680043.8.498.10759842474698331813589731619457567641,20
1.2.826.0.1.3680043.8.498.10760644681012726742070280772751417129,280
1.2.826.0.1.3680043.8.498.10763282961073389187623147342741342350,34
1.2.826.0.1.3680043.8.498.10764740527305461045903346909161164243,551
1.2.826.0.1.3680043.8.498.10768663201506668685589882709865763836,173
1.2.826.0.1.3680043.8.498.10775557483309974755100932459198402019,39
1.2.826.0.1.3680043.8.498.10777851323461603684026638438811329191,908
1.2.826.0.1.3680043.8.498.10783586076403918900057381253415239230,201
1.2.826.0.1.3680043.8.498.10792939011805385227398479853969573435,1
1.2.826.0.1.3680043.8.498.10809375670627597986986556441787035159,996
1.2.826.0.1.3680043.8.498.10813117746808341491077072725787969089,54
1.2.826.0.1.3680043.8.498.10813507599485106154398915611554294910,188
1.2.826.0.1.3680043.8.498.10819464732175268902195248458785776039,384
1.2.826.0.1.3680043.8.498.10820472882684587647235099308830427864,1
1.2.826.0.1.3680043.8.498.10822997701278083315624912146126530745,226
1.2.826.0.1.3680043.8.498.10826180404109912448081043891088073445,295
1.2.826.0.1.3680043.8.498.10834923084007253548108699309528531373,281
1.2.826.0.1.3680043.8.498.10836696159962346198965554506289936039,153
1.2.826.0.1.3680043.8.498.10838160861885189917274991863145332876,184
1.2.826.0.1.3680043.8.498.10838261583340080792086755879475952843,20
1.2.826.0.1.3680043.8.498.10839154118581632165518813055860534143,130
1.2.826.0.1.3680043.8.498.10840427012331499269134833386069578419,331
1.2.826.0.1.3680043.8.498.10841105106976517598508356769604097806,56
1.2.826.0.1.3680043.8.498.10842106593410793277107908140614397552,18
1.2.826.0.1.3680043.8.498.10842329586761370124641179901116727112,747
1.2.826.0.1.3680043.8.498.10842633011016124316481111626820905968,42
1.2.826.0.1.3680043.8.498.10843288560910004558081082597234683103,160
1.2.826.0.1.3680043.8.498.10850890063834444399767634780676036431,219
1.2.826.0.1.3680043.8.498.10855815156328862163449309063624947551,1
1.2.826.0.1.3680043.8.498.10859480151886218035784959667246455769,292
1.2.826.0.1.3680043.8.498.10859811248367175385015606517173337848,101
1.2.826.0.1.3680043.8.498.10861392989814068464162274925958278728,281
1.2.826.0.1.3680043.8.498.10862138275035843887055171875480735964,1
1.2.826.0.1.3680043.8.498.10863499657940265441624573364151465623,521
1.2.826.0.1.3680043.8.498.10865391592895615633871689438787039175,40
1.2.826.0.1.3680043.8.498.10865633197287573811696664187842772441,289
1.2.826.0.1.3680043.8.498.10866229039227436325092478217487580131,30
1.2.826.0.1.3680043.8.498.10869078758429199339063696442522887821,32
1.2.826.0.1.3680043.8.498.10873071072204815817653190535323985529,235
1.2.826.0.1.3680043.8.498.10873596735756833834134538718102713145,132
1.2.826.0.1.3680043.8.498.10873695717258430495304098469954646795,273
1.2.826.0.1.3680043.8.498.10883708862158237934217807665304994642,372
1.2.826.0.1.3680043.8.498.10888065754423178862053907045443566649,281
1.2.826.0.1.3680043.8.498.10893763532618482362918778416477589420,106
1.2.826.0.1.3680043.8.498.10902556257000634741565940839764387879,200
1.2.826.0.1.3680043.8.498.10902663014512677837346919561455269747,250
1.2.826.0.1.3680043.8.498.10902794470321365367538857308983298568,168
1.2.826.0.1.3680043.8.498.10904087003563133106247033092230274435,78
1.2.826.0.1.3680043.8.498.10907500670359673552912792827252389493,172
1.2.826.0.1.3680043.8.498.10917174258607134469794437390965910075,205
1.2.826.0.1.3680043.8.498.10920681334782090967327133178798765117,869
1.2.826.0.1.3680043.8.498.10921364076713776855529289716644865328,45
1.2.826.0.1.3680043.8.498.10923447897954059790146352224085434772,852
1.2.826.0.1.3680043.8.498.10924490066596964733267162219377166332,316
1.2.826.0.1.3680043.8.498.10925835367566060680558681418372812622,529
1.2.826.0.1.3680043.8.498.10929608782694347957516071062422315982,320
1.2.826.0.1.3680043.8.498.10934247501385122444418879317492730564,847
1.2.826.0.1.3680043.8.498.10935235787050309668480953561660161723,126
1.2.826.0.1.3680043.8.498.10935550678986448920302651361294862056,264
1.2.826.0.1.3680043.8.498.10935907012185032169927418164924236382,289
1.2.826.0.1.3680043.8.498.10936114223559523253731725214122303542,139
1.2.826.0.1.3680043.8.498.10936156451495480877784464707632473810,19
1.2.826.0.1.3680043.8.498.10941306315529851008001132294356170420,705
1.2.826.0.1.3680043.8.498.10950784584176028195112826388591006295,200
1.2.826.0.1.3680043.8.498.10950979111755075304347564599831448092,200
1.2.826.0.1.3680043.8.498.10952947258340598137482942067292515769,76
1.2.826.0.1.3680043.8.498.10953794772345668640118322411755902946,783
1.2.826.0.1.3680043.8.498.10955393267716025028591524385872853904,226
1.2.826.0.1.3680043.8.498.10956467828395104300010952749367631053,290
1.2.826.0.1.3680043.8.498.10960467202537249314034213241421770874,800
1.2.826.0.1.3680043.8.498.10966504312607164580595623222441836010,120
1.2.826.0.1.3680043.8.498.10980026745062140438182890008536486318,1
1.2.826.0.1.3680043.8.498.10981389271844621878885978328397228333,1
1.2.826.0.1.3680043.8.498.10983873469527502146507427860324376387,1
1.2.826.0.1.3680043.8.498.10988970955059180734042722973735446808,34
1.2.826.0.1.3680043.8.498.10994313443065838323466589218646119719,373
1.2.826.0.1.3680043.8.498.10994547329065112215304229638886260611,320
1.2.826.0.1.3680043.8.498.10994694444624759369431000277879096454,234
1.2.826.0.1.3680043.8.498.10994836313290465695172433969490116921,640
1.2.826.0.1.3680043.8.498.10998551301428376772035074358827982227,614
1.2.826.0.1.3680043.8.498.11002125925929104212963419170340709242,118
1.2.826.0.1.3680043.8.498.11019101980573889157112037207769236902,127
1.2.826.0.1.3680043.8.498.11023103893787067902407648942348184831,40
1.2.826.0.1.3680043.8.498.11024186785729776851960279299394139142,665
1.2.826.0.1.3680043.8.498.11029475514416097612140659731765392989,117
1.2.826.0.1.3680043.8.498.11031239695101994967463593503001530063,363
1.2.826.0.1.3680043.8.498.11036671323850503028426007370307873781,43
1.2.826.0.1.3680043.8.498.11038636852681039246443401046449812061,43
1.2.826.0.1.3680043.8.498.11045787968444482270051562770806250888,38
1.2.826.0.1.3680043.8.498.11048227014863508585089381592484160039,249
1.2.826.0.1.3680043.8.498.11050139196052947564023379619184070183,19
1.2.826.0.1.3680043.8.498.11053548925357676714635723341608580542,505
1.2.826.0.1.3680043.8.498.11061783763510819390112323592336509856,124
1.2.826.0.1.3680043.8.498.11062397380277678777080157173387177272,38
1.2.826.0.1.3680043.8.498.11066323427783087273988542935180341547,24
1.2.826.0.1.3680043.8.498.11067140829083042344950163072705216680,145
1.2.826.0.1.3680043.8.498.11070277944185956335591004412862966078,145
1.2.826.0.1.3680043.8.498.11073715674457260663199117206343573882,196
1.2.826.0.1.3680043.8.498.11074147095352439934515409762357252407,205
1.2.826.0.1.3680043.8.498.11075633505381780826497163741802412581,205
1.2.826.0.1.3680043.8.498.11076203044904183976445941089308781481,329
1.2.826.0.1.3680043.8.498.11079102674589284483149404820469555321,30
1.2.826.0.1.3680043.8.498.11092829045871957522287158072012356803,140
1.2.826.0.1.3680043.8.498.11093411025320459607001037215554440047,201
1.2.826.0.1.3680043.8.498.11098780782340815507287784394577673659,153
1.2.826.0.1.3680043.8.498.11099114271904020766799919836005857027,36
1.2.826.0.1.3680043.8.498.11103370741248483567621219101272549666,27
1.2.826.0.1.3680043.8.498.11104954478910076555193799063337641886,1
1.2.826.0.1.3680043.8.498.11111238329647094487286538983381172094,1
1.2.826.0.1.3680043.8.498.11114613141735642199606043212646844886,26
1.2.826.0.1.3680043.8.498.11117807844258774078818200126348981270,188
1.2.826.0.1.3680043.8.498.11119354862841276358936478598892893879,1
1.2.826.0.1.3680043.8.498.11119518999408610343429821378264570081,270
1.2.826.0.1.3680043.8.498.11123698150630581247464179431271261228,29
1.2.826.0.1.3680043.8.498.11124620497100588419622876719324296841,822
1.2.826.0.1.3680043.8.498.11124875256148069004788576132480005003,252
1.2.826.0.1.3680043.8.498.11130025749561251855146932558296725369,205
1.2.826.0.1.3680043.8.498.11130135239083036131772836175573057139,228
1.2.826.0.1.3680043.8.498.11136522815441290894243235766736919646,39
1.2.826.0.1.3680043.8.498.11140496970152788589837488009637704168,36
1.2.826.0.1.3680043.8.498.11140749381284703697463059911059675843,204
